Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-174.76,172.67,59.92,1.88,140.68,145.32,216.28,70.38,-263.94,-290.41,-31.91,25.02,-170.38,-26.12,1.95,13.5,-0.77,22.81,97.59,84.18,-93.68
-147.48,155.44,89.34,45.56,60.91,30.41,102.16,95.55,-229.83,-230.3,7.67,60.87,-131.12,18.11,24.47,29.71,-6.32,60.24,-78.01,86.84,-44.21
-141.5,108.36,122.41,93.4,-49.14,-113.23,-45.87,121.07,-190.05,-168.09,113.65,130.86,-78.91,56.73,45.8,56.96,-2.87,94.63,-296.07,100.51,41.96
-143.17,62.8,146.71,128.29,-128.86,-192.39,-140.03,129.77,-157.31,-127.77,162.09,170.53,-27.95,90.56,64.18,74.01,22.4,117.53,-420.0,120.94,83.18
-142.49,31.06,160.44,131.3,-164.05,-194.56,-162.0,114.92,-147.87,-120.44,161.5,175.94,-8.29,103.82,73.39,74.58,55.25,120.3,-420.0,155.19,88.0
-149.61,20.84,141.72,100.84,-136.33,-106.7,-87.18,86.4,-166.57,-166.01,108.24,146.69,-41.12,74.97,61.38,62.18,69.87,93.11,-308.52,161.27,34.56
-152.11,38.77,99.5,41.86,-66.73,15.41,24.19,51.01,-191.03,-209.88,54.78,100.05,-82.64,39.64,41.73,39.01,63.05,60.62,-55.29,92.7,-3.87
-154.01,77.77,67.06,-12.4,36.05,162.71,171.92,35.42,-225.78,-269.69,-5.4,47.91,-142.85,-8.07,17.22,16.56,67.58,26.15,110.43,48.6,-67.34
-164.88,118.31,31.78,-36.23,112.12,240.92,268.32,39.13,-260.44,-307.04,-43.7,7.47,-190.16,-41.78,-0.33,1.55,47.51,3.57,254.27,38.09,-117.89
-176.07,133.95,17.27,-50.08,157.45,236.78,287.44,59.4,-280.87,-314.34,-55.17,1.28,-195.66,-50.81,-7.65,5.44,10.97,-1.62,298.92,39.74,-115.68
-178.92,129.42,48.58,-15.37,119.92,142.44,210.77,86.68,-273.29,-281.71,-47.84,25.27,-156.84,-24.79,1.47,25.6,-28.59,19.26,221.8,44.3,-68.04
-166.63,117.59,79.52,42.06,32.07,34.18,99.02,110.79,-248.3,-226.62,16.89,72.82,-114.73,10.95,14.43,55.99,-40.43,49.98,40.84,56.94,-37.14
-163.96,79.4,109.52,104.94,-53.74,-102.46,-44.51,136.71,-212.12,-163.06,99.89,128.9,-62.32,60.73,35.61,82.9,-29.68,89.11,-184.11,71.55,17.0
-179.16,33.91,123.65,133.14,-104.07,-182.27,-139.65,141.91,-181.12,-122.09,147.53,173.94,-31.06,96.58,57.37,102.64,10.57,113.99,-350.96,87.45,66.94
-170.38,-4.9,130.1,148.8,-139.98,-195.32,-160.74,124.76,-150.77,-108.16,143.12,181.87,-21.04,107.47,64.47,103.15,47.58,116.88,-404.45,113.79,72.82
-157.26,-20.58,111.44,128.77,-124.0,-109.6,-81.64,98.91,-152.1,-133.22,97.77,144.4,-47.26,86.69,54.65,88.54,75.6,94.88,-303.93,123.22,25.31
-145.87,-4.66,93.38,73.06,-58.07,4.14,28.53,58.29,-178.97,-176.77,52.17,88.31,-93.52,52.28,34.26,59.09,86.5,63.15,-129.93,128.98,-34.32
-156.68,-0.05,67.31,22.04,26.42,141.06,165.41,59.82,-222.18,-238.43,-2.93,35.55,-156.51,-2.82,8.81,34.39,69.74,18.72,83.8,122.82,-76.56
-161.68,18.57,38.76,4.27,93.08,216.85,255.51,86.41,-254.71,-278.19,-46.31,0.34,-204.03,-42.89,-9.37,14.01,33.57,-9.86,247.39,107.62,-109.99
-150.56,50.86,29.87,3.56,114.52,227.18,280.26,111.98,-269.22,-281.55,-69.86,-15.07,-212.77,-52.71,-15.86,-5.57,0.81,-10.49,301.06,92.59,-128.8
-133.84,69.6,47.36,14.86,90.1,144.21,207.33,128.83,-250.2,-239.73,-38.56,4.22,-182.64,-28.52,-8.85,1.67,-22.7,17.27,209.19,72.39,-101.08
-130.18,62.59,74.6,34.28,29.43,17.99,92.38,138.18,-219.77,-185.37,16.46,58.04,-136.68,13.57,8.27,30.92,-27.45,56.38,34.93,65.36,-33.52
-127.43,24.69,110.68,96.71,-75.68,-127.82,-51.11,179.46,-178.0,-131.49,74.7,123.66,-80.83,62.36,26.85,73.28,-16.38,95.77,-181.98,81.49,20.89
-134.05,-28.31,132.8,141.44,-149.69,-201.45,-143.49,211.45,-146.4,-100.93,111.06,170.68,-43.52,97.53,46.31,111.7,13.46,118.07,-339.19,99.96,33.36
-139.66,-64.63,127.29,135.31,-172.18,-199.47,-166.12,193.62,-135.46,-98.53,134.84,180.18,-28.46,107.82,51.13,123.38,50.25,119.67,-389.23,125.95,45.08
-143.67,-73.84,110.21,99.85,-129.4,-103.38,-90.99,146.62,-147.4,-129.01,108.26,146.43,-60.59,82.85,40.71,99.1,85.09,96.0,-292.31,137.06,18.4
-139.09,-55.88,85.62,69.65,-70.86,10.03,18.75,94.42,-175.47,-167.8,51.0,98.03,-99.18,47.09,22.44,56.33,95.55,62.12,-122.27,143.53,-23.64
-143.01,-21.34,63.21,18.36,2.49,151.01,162.12,66.6,-210.69,-224.53,-25.55,34.1,-138.04,-3.98,-5.96,19.55,88.3,24.03,96.78,132.51,-85.25
-147.2,16.62,43.75,-14.81,72.89,225.38,254.48,76.48,-248.66,-262.52,-72.62,-1.29,-178.93,-42.1,-28.95,9.2,61.19,-1.26,256.3,110.43,-129.36
-157.62,47.55,28.39,-14.34,123.6,229.62,278.35,102.49,-266.71,-275.42,-75.34,-12.99,-189.76,-54.74,-38.16,8.37,27.89,-5.94,304.16,89.34,-149.24
-167.59,54.31,47.06,27.88,103.33,140.58,205.54,125.34,-249.55,-239.2,-29.77,2.59,-161.22,-33.67,-31.32,8.81,0.82,15.26,203.99,90.42,-113.6
-166.38,34.61,80.45,68.79,29.32,20.73,91.57,160.06,-216.01,-186.59,23.64,54.66,-128.84,5.14,-8.13,39.49,-13.03,47.66,33.07,85.73,-56.8
-147.33,-1.48,113.57,105.96,-74.03,-123.15,-51.62,176.26,-170.06,-121.89,73.45,124.58,-82.0,61.68,24.79,86.28,-7.31,90.41,-178.76,95.5,5.93
-131.7,-40.19,147.08,136.11,-159.26,-194.36,-140.19,152.57,-132.36,-77.43,90.41,160.19,-42.35,103.09,46.21,99.56,20.14,119.57,-330.72,121.61,52.52
